"SYMBOL"	"chromosome_name"	"start_position"	"end_position"
"ARHGEF38"	"4"	105552620	105708093
"ARID5B"	"10"	61901684	62096944
"ARL15"	"5"	53883942	54310582
"ARMC12"	"6"	35737032	35749079
"ARMCX1"	"X"	101550547	101554700
"ARMCX2"	"X"	101655281	101659850
"ARMCX3"	"X"	101622797	101627843
"ARMH1"	"1"	44674692	44725591
"ARMH4"	"14"	57999735	58298139
"ARNT2"	"15"	80404350	80597933
"ARRDC3"	"5"	91368631	91383317
"ARSG"	"17"	68259182	68422731
"ART5"	"11"	3638512	3642316
"ARVCF"	"22"	19969896	20016823
"ASNS"	"7"	97851677	97872542
"ASPHD1"	"16"	29900375	29919864
"ASPHD2"	"22"	26429260	26445015
"ASS1"	"9"	130444961	130501274
"ATF3"	"1"	212565334	212620777
"ATOH8"	"2"	85751344	85791383
"ATP13A4"	"3"	193398967	193593111
"ATP1A2"	"1"	160115759	160143591
"ATP1B2"	"17"	7646627	7657770
"ATP6AP1L"	"5"	82279462	82386977
"ATP6V0A4"	"7"	138706294	138799560
"ATP6V1B1"	"2"	70935900	70965431
"ATP6V1FNB"	"7"	128866330	128872047
"ATRNL1"	"10"	115093365	115948999
"AXIN2"	"17"	65528563	65561648
"AZIN2"	"1"	33081104	33123492
"B3GNT8"	"19"	41425359	41428730
"B4GALNT4"	"11"	369499	382117
"BACE2"	"21"	41167801	41282530
"BACH1"	"21"	29194071	29630751
"BACH2"	"6"	89926528	90296843
"BAMBI"	"10"	28677510	28682932
"BANK1"	"4"	101411286	102074812
"BBC3"	"19"	47220822	47232766
"BCAM"	"19"	44809071	44821421
"BCAT1"	"12"	24810024	24949101
"BCHE"	"3"	165772904	165837462
"BCL6"	"3"	187721377	187745725
"BCORL1"	"X"	129981107	130058071
"BDH2"	"4"	103077592	103099870
"BDNF"	"11"	27654893	27722058
"BEAN1"	"16"	66427295	66493529
"BEND7"	"10"	13438484	13529014
"BEST1"	"11"	61950063	61965515
"BEX2"	"X"	103309346	103311007
"BHMT2"	"5"	79069767	79090069
"BICC1"	"10"	58512872	58831435
"BMERB1"	"16"	15434475	15625028
"BMERB1"	"HSCHR16_1_CTG1"	1092272	1283041
"BMF"	"15"	40087890	40108892
"BMP1"	"8"	22165140	22212326
"BMP2"	"20"	6767686	6780246
"BMP7"	"20"	57168753	57266641
"BOC"	"3"	113211003	113287459
"BORCS7"	"10"	102854259	102864961
"BPIFB4"	"20"	33079643	33111751
"BPIFC"	"22"	32413845	32464484
"BRINP1"	"9"	119153458	119369435
"BRSK1"	"19"	55282072	55312562
"BRSK2"	"11"	1389899	1462689
"BRSK2"	"HG152_PATCH"	124165	196955
"BST2"	"19"	17402939	17405630
"BTBD9"	"6"	38168451	38640148
"BTG2"	"1"	203305491	203309602
"BTK"	"X"	101349338	101390796
"BTN1A1"	"HSCHR6_1_CTG1"	46483	56605
"BTN1A1"	"6"	26500303	26510425
"BTN2A2"	"6"	26383096	26394874
"C14orf28"	"14"	44897275	44907257
"C16orf89"	"16"	5044122	5066110
"C16orf96"	"16"	4556340	4600758
"C17orf100"	"17"	6651762	6693202
"C17orf107"	"17"	4899418	4902934
"C19orf38"	"19"	10836575	10869790
"C1GALT1C1L"	"2"	43675151	43676429
"C1QTNF1"	"17"	79022814	79049788
"C1QTNF5"	"11"	119338942	119340940
"C1QTNF6"	"22"	37180166	37199385
"C1R"	"12"	7080214	7092540
"C1R"	"HG1398_PATCH"	8669	20226
"C1RL"	"12"	7089587	7109238
"C1RL"	"HG1398_PATCH"	17273	36924
"C1S"	"12"	6988259	7071032
"C1orf115"	"1"	220690363	220699153
"C1orf198"	"1"	230837119	230869589
"C1orf21"	"1"	184387029	184629019
"C20orf96"	"20"	270863	290778
"C2CD4A"	"15"	62066977	62070917
"C2CD4B"	"15"	62163535	62165285
"C3"	"19"	6677704	6730562
"C4A"	"HSCHR6_MHC_QBL_CTG1"	3237995	3258653
"C4A"	"6"	31982057	32002681
"C4A"	"HSCHR6_MHC_MCF_CTG1"	3356798	3377455
"C4A"	"HSCHR6_MHC_DBB_CTG1"	3229797	3250455
"C4B"	"HSCHR6_MHC_DBB_CTG1"	3262537	3276826
"C4B"	"HSCHR6_MHC_COX_CTG1"	3459451	3473740
"C4B"	"HSCHR6_MHC_MCF_CTG1"	3324061	3324087
"C4B"	"6"	32014795	32035418
"C4B"	"HSCHR6_MHC_SSTO_CTG1"	3315951	3336608
"C4orf54"	"4"	99636529	99657828
"C5AR1"	"19"	47290023	47322066
"C5AR2"	"19"	47332175	47347329
"C5orf46"	"5"	147880726	147906538
"C6orf163"	"6"	87344813	87365463
"CA11"	"19"	48637946	48646187
"CA13"	"8"	85220587	85284073
"CABCOCO1"	"10"	61662929	61766766
"CACFD1"	"HG2030_PATCH"	286059	296942
"CACFD1"	"9"	133459965	133470848
"CACHD1"	"1"	64470129	64693058
"CADM1"	"11"	115169218	115504957
"CADM4"	"19"	43622368	43639850
"CADPS2"	"7"	122318411	122886759
"CALCOCO1"	"12"	53708517	53727745
"CALCR"	"7"	93424486	93574730
"CALCRL"	"2"	187341964	187448460
"CALHM5"	"6"	116511639	116524788
"CAPN3"	"15"	42359498	42412949
"CARD16"	"11"	105041326	105101431
"CARHSP1"	"16"	8852942	8869012
"CARMIL3"	"HG1_PATCH"	352987	370707
"CARMIL3"	"14"	24052009	24069729
"CARNS1"	"11"	67414968	67425607
"CASP1"	"11"	105025397	105035250
"CASQ1"	"1"	160190575	160201886
"CATSPERE"	"1"	244454377	244641177
"CATSPERG"	"19"	38335775	38370943
"CAVIN2"	"2"	191834310	191847088
"CBLB"	"3"	105655461	105869552
"CBLN3"	"14"	24426545	24430954
"CCDC102B"	"18"	68715209	69055189
"CCDC106"	"19"	55641062	55653161
"CCDC146"	"7"	77122434	77329533
"CCDC152"	"5"	42756818	42802439
"CCDC180"	"9"	97307304	97378751
"CCDC187"	"9"	136249973	136306901
"CCDC190"	"1"	162824458	162868761
"CCDC62"	"12"	122774526	122827528
"CCDC80"	"3"	112596797	112649530
"CCDC89"	"11"	85683848	85686195
"CCDC92"	"12"	123918660	123972831
"CCDC92"	"HSCHR12_6_CTG2_1"	92215	119498
"CCL2"	"17"	34255274	34257208
"CCN1"	"1"	85580761	85584589
"CCN2"	"6"	131948176	131951372
"CCN5"	"20"	44714844	44728509
"CCND2"	"12"	4269771	4305353
"CCNG2"	"4"	77157207	77433388
"CCNJL"	"5"	160249083	160345396
"CCR10"	"17"	42678889	42683917
"CCT6B"	"17"	34927859	34981078
"CD14"	"5"	140631728	140633700
"CD160"	"1"	145719471	145739288
"CD200R1"	"3"	112921205	112975103
"CD24"	"6"	106969831	106975627
"CD36"	"7"	80369575	80679277
"CD37"	"19"	49335171	49343335
"CD38"	"4"	15778275	15853232
"CD70"	"19"	6583183	6604103
"CD99"	"X"	2691187	2741309
"CD99"	"Y"	2691187	2741309
"CDC42EP3"	"2"	37641882	37738468
"CDH11"	"16"	64943753	65126112
"CDH15"	"16"	89171748	89195492
"CDH24"	"14"	23047062	23057538
"CDH5"	"16"	66366690	66404784
"CDK5R2"	"2"	218959666	218962155
"CDRT4"	"17"	15436015	15475728
"CEACAM7"	"HSCHR19_3_CTG3_1"	4498	8694
"CEACAM7"	"19"	41673303	41706976
"CEBPD"	"8"	47736913	47738164
"CECR2"	"22"	17359949	17558151
"CELF6"	"15"	72284727	72320157
"CEMIP"	"15"	80779343	80951776
"CEMIP2"	"9"	71683366	71816690
"CERS1"	"19"	18868545	18896727
"CERS4"	"19"	8206736	8262421
"CES3"	"16"	66961245	66975149
"CES4A"	"16"	66988589	67010417
"CFAP221"	"2"	119544432	119662251
"CFAP58"	"10"	104353833	104455102
"CFAP70"	"10"	73253762	73358864
"CFB"	"HSCHR6_MHC_DBB_CTG1"	3193430	3199864
"CFB"	"HSCHR6_MHC_MCF_CTG1"	3287686	3294120
"CFB"	"6"	31945650	31952086
"CFB"	"HSCHR6_MHC_MANN_CTG1"	3250627	3255741
"CFB"	"HSCHR6_MHC_QBL_CTG1"	3201625	3208059
"CFB"	"HSCHR6_MHC_SSTO_CTG1"	3246839	3253273
"CFB"	"HSCHR6_MHC_COX_CTG1"	3423077	3429511
"CFI"	"4"	109731008	109802150
"CHAC1"	"15"	40952962	40956512
"CHADL"	"22"	41229510	41240931
"CHAT"	"10"	49609095	49667942
"CHI3L1"	"1"	203178931	203186704
"CHI3L2"	"1"	111200771	111243440
"CHRD"	"3"	184380054	184390736
"CHRM1"	"11"	62908679	62921807
"CHRNB1"	"17"	7445061	7457710
"CHRNB1"	"HG2046_PATCH"	65518	78167
"CHST9"	"18"	26906481	27185308
"CHSY3"	"5"	129904465	130186634
"CITED2"	"6"	139371807	139374648
"CLCNKB"	"1"	16040252	16057311
"CLDN1"	"3"	190305707	190322446
"CLDN16"	"3"	190322541	190412138
"CLEC2B"	"12"	9852369	9869386
"CLEC7A"	"12"	10116777	10130258
"CLIC2"	"X"	155276211	155334657
"CLIC3"	"9"	136994608	136996568
"CLN5"	"13"	76990660	77019143
"CLSTN3"	"HG1398_PATCH"	57384	86631
"CLSTN3"	"12"	7129698	7158945
"CLU"	"8"	27596917	27614700
"CLUL1"	"18"	596988	650334
"CLYBL"	"13"	99606669	99909459
"CMTM3"	"16"	66603874	66613892
"CMTM8"	"3"	32238679	32370321
"CMYA5"	"5"	79689836	79800240
"CNGA4"	"11"	6234765	6244479
"CNN1"	"19"	11538767	11550323
"CNTNAP1"	"17"	42682531	42699993
"COCH"	"14"	30874514	30895065
"COL11A2"	"HSCHR6_MHC_SSTO_CTG1"	4611327	4638113
"COL11A2"	"HSCHR6_MHC_COX_CTG1"	4574189	4604006
"COL11A2"	"HSCHR6_MHC_QBL_CTG1"	4357085	4386902
"COL11A2"	"HSCHR6_MHC_DBB_CTG1"	4406180	4435998
"COL11A2"	"HSCHR6_MHC_MCF_CTG1"	4598639	4628455
"COL11A2"	"HSCHR6_MHC_MANN_CTG1"	4582154	4611971
"COL11A2"	"6"	33162681	33192499
"COL12A1"	"6"	75084326	75206267
"COL14A1"	"8"	120059780	120373573
"COL1A2"	"7"	94394895	94431227
"COL21A1"	"6"	56056590	56394094
"COL24A1"	"1"	85729233	86156943
"COL3A1"	"2"	188974373	189012746
"COL3A1"	"HG2494_PATCH"	79333	117706
"COL4A3"	"2"	227164624	227314792
"COL4A4"	"2"	227002714	227164453
"COL4A5"	"X"	108439838	108697545
"COL5A1"	"9"	134641803	134844843
"COL8A1"	"3"	99638475	99799226
"COL8A2"	"1"	36095239	36125222
"COL9A2"	"1"	40300489	40317813
"COLGALT2"	"1"	183929854	184037729
"CORIN"	"4"	47593999	47838106
"CPA3"	"3"	148865296	148897203
"CPA4"	"7"	130293134	130324180
"CPAMD8"	"19"	16892951	17026815
"CPE"	"4"	165361194	165498547
"CPNE4"	"3"	131533555	132285410
"CPQ"	"8"	96645242	97149654
"CPS1"	"2"	210477682	210679107
"CPZ"	"4"	8592660	8619759
"CRACR2A"	"12"	3606633	3764819
"CREB5"	"7"	28299321	28825894
"CREBRF"	"5"	173056352	173139284
"CRIM1"	"2"	36355778	36551135
"CRIM1"	"HSCHR2_1_CTG5"	6693	7390
"CRIP3"	"6"	43299710	43308826
"CRISPLD2"	"16"	84819985	84920768
"CROCC2"	"2"	240906330	240993311
"CRYAB"	"11"	111908564	111923722
"CRYGN"	"7"	151428832	151440813
"CSDC2"	"22"	41561010	41577741
"CSF1"	"1"	109910242	109930992
"CSPG4"	"15"	75674322	75712848
"CST7"	"20"	24949269	24959928
"CSTA"	"3"	122325248	122341969
"CT47A12"	"X"	120930250	120932301
"CTF1"	"16"	30896614	30903547
"CTH"	"1"	70411218	70439851
"CTIF"	"HG2213_PATCH"	24050	352487
"CTIF"	"18"	48539031	48863217
"CTSF"	"11"	66563464	66568879
"CTSO"	"HSCHR4_1_CTG12"	88741	118534
"CTSO"	"4"	155921580	155953912
"CUL7"	"6"	43037617	43053943
"CXADR"	"21"	17513043	17593579
"CXCL14"	"5"	135570679	135579279
"CXCL16"	"17"	4733533	4739928
"CXCL2"	"4"	74097040	74099196
"CXCL3"	"4"	74036589	74038807
"CYBRD1"	"2"	171522247	171558129
"CYFIP2"	"5"	157266079	157395595
"CYP17A1"	"10"	102830531	102837472
"CYP1B1"	"2"	38066973	38109902
"CYP21A2"	"HSCHR6_MHC_COX_CTG1"	3476620	3479992
"CYP21A2"	"HSCHR6_MHC_QBL_CTG1"	3116207	3264905
"CYP21A2"	"HSCHR6_MHC_DBB_CTG1"	3279706	3283078
"CYP21A2"	"HSCHR6_MHC_MCF_CTG1"	3380335	3383703
"CYP21A2"	"HSCHR6_MHC_SSTO_CTG1"	3339488	3342857
"CYP21A2"	"6"	32038327	32041644
"CYP2E1"	"10"	133520406	133561220
"CYP2F1"	"19"	41114432	41128381
"CYP2U1"	"4"	107931549	107953461
"CYP39A1"	"6"	46549580	46652830
"CYP4X1"	"1"	47023669	47050751
"DAB2"	"5"	39371675	39462300
"DAGLA"	"11"	61680391	61747001
"DAPK1"	"9"	87497228	87708634
"DAPK2"	"15"	63907036	64072033
"DBH"	"9"	133636363	133659329
"DBNDD1"	"16"	90004871	90019890
"DBP"	"19"	48630030	48637379
"DCDC1"	"11"	30830369	31369810
"DCDC2C"	"2"	3703575	3848008
"DCHS1"	"11"	6621330	6655809
"DCLK1"	"13"	35768652	36131382
"DCLK2"	"4"	150078445	150257438
"DDAH1"	"1"	85318481	85578363
"DDAH2"	"HSCHR6_MHC_MCF_CTG1"	3068913	3072492
"DDAH2"	"HSCHR6_MHC_SSTO_CTG1"	3026334	3029913
"DDAH2"	"HSCHR6_MHC_MANN_CTG1"	3032085	3035664
"DDAH2"	"HSCHR6_MHC_QBL_CTG1"	2982849	2986428
"DDAH2"	"HSCHR6_MHC_DBB_CTG1"	2974799	2978378
"DDAH2"	"HSCHR6_MHC_COX_CTG1"	3204326	3207905
"DDAH2"	"6"	31727038	31730617
"DDO"	"6"	110391771	110415575
"DDR2"	"1"	162631373	162787405
"DEFB1"	"8"	6870592	6877936
"DEFB1"	"HG76_PATCH"	265839	273168
"DENND2A"	"7"	140518420	140673993
"DENND2B"	"11"	8693351	8910951
"DENND6B"	"22"	50309030	50327012
"DEPP1"	"10"	44970981	44978809
"DEPTOR"	"8"	119873717	120050918
"DES"	"2"	219418377	219426735
"DISC1"	"1"	231626790	232041272
"DISP3"	"1"	11479155	11537551
"DLC1"	"8"	13083361	13604610
"DLC1"	"HG76_PATCH"	6281405	6311248
"DLG4"	"17"	7187187	7219841
"DMD"	"X"	31097677	33339609
"DMGDH"	"5"	78997564	79236038
"DNAH1"	"3"	52316319	52400492
"DNAH10"	"12"	123762188	123935720
"DNAH10"	"HSCHR12_6_CTG2_1"	179	109258
"DNAJB4"	"1"	77979175	78017964
"DNAJC1"	"10"	21756548	22003769
"DNAJC15"	"13"	43023203	43114213
"DNAJC18"	"5"	139408588	139444491
"DNAJC28"	"HSCHR21_4_CTG1_1"	89659	95850
"DNAJC28"	"21"	33488055	33491716
"DNALI1"	"1"	37556919	37566857
"DNASE2"	"19"	12875209	12881595
"DNMT3L"	"21"	44246339	44262216
"DOCK3"	"3"	50674927	51384198
"DOK4"	"16"	57471922	57487327
"DOK5"	"20"	54475593	54651169
"DPP4"	"2"	161992245	162074394
"DPYSL2"	"8"	26514031	26658178
"DRD2"	"11"	113409605	113475691
"DUOX2"	"15"	45092650	45114172
"DUSP1"	"5"	172768096	172771195
"DUSP15"	"20"	31847637	31870664
"DUSP16"	"12"	12473282	12562863
"DUSP16"	"HG1362_PATCH"	442285	531866
"DUSP8"	"HG152_PATCH"	294027	312247
"DUSP8"	"HSCHR11_1_CTG6"	36281	54157
"DUSP8"	"HSCHR11_2_CTG1_1"	30571	48447
"DUSP8"	"11"	1554051	1572271
"DYDC2"	"10"	80344745	80368073
"DYRK1B"	"19"	39825350	39834201
"DYRK1B"	"HG2021_PATCH"	85226	94077
"DYSF"	"2"	71453561	71686763
"EBI3"	"19"	4229523	4237528
"ECHDC2"	"1"	52895910	52927212
"ECM2"	"HG1012_PATCH"	328281	371382
"ECM2"	"9"	92493554	92536655
"EDA2R"	"X"	66595637	66639298
"EDEM2"	"20"	35115364	35147336
"EDIL3"	"5"	83940554	84384880
"EDN1"	"6"	12290361	12297194
"EDN2"	"1"	41478775	41484683
"EFNB3"	"17"	7705202	7711372
"EGF"	"4"	109912883	110013766
"EGLN3"	"14"	33924227	34462774
"EIF2AK3"	"2"	88556741	88691518
"EIF4EBP3"	"5"	140547662	140549576
"EMID1"	"22"	29205896	29259597
"EMX1"	"2"	72916260	72936071
"ENO4"	"10"	116849499	116911788
"ENOX1"	"13"	43213130	43786972
"ENPEP"	"4"	110365733	110565285
"ENPP4"	"6"	46129989	46146688
"ENPP5"	"6"	46159185	46170980
"EPAS1"	"2"	46293667	46386697
"EPPK1"	"8"	143857324	143878467
"EPX"	"17"	58192726	58205174
"ERCC6"	"10"	49454168	49539538
"ERICH3"	"1"	74568117	74673792
"ERO1B"	"1"	236214681	236282019
"ESYT3"	"3"	138434586	138481686
"ETV2"	"19"	35641745	35644871
"EVI5"	"1"	92508696	92792404
"F2R"	"5"	76716126	76735770
"F2RL2"	"5"	76615482	76623413
"F2RL3"	"19"	16888999	16892606
"FADS3"	"11"	61873519	61892051
"FAM107A"	"3"	58564117	58627610
"FAM124A"	"13"	51222334	51284239
"FAM171A2"	"17"	44353215	44363853
"FAM20A"	"17"	68535113	68601367
"FAM218A"	"4"	164956948	164959122
"FAM221A"	"7"	23680130	23703249
"FAM227B"	"15"	49326962	49620929
"FAM228B"	"2"	24076526	24169640
"FAM53A"	"4"	1617915	1684313
"FAM8A1"	"6"	17600302	17611719
"FAM90A1"	"12"	8221260	8227618
"FAT4"	"4"	125314918	125492932
"FBXO25"	"8"	406428	477967
"FBXO39"	"17"	6776215	6797101
"FCGBP"	"19"	39863323	39934626
"FCGBP"	"HG2021_PATCH"	123200	209769
"FCGR2A"	"1"	161505430	161524013
"FCGRT"	"19"	49506816	49526428
"FGF11"	"17"	7438273	7444937
"FGF11"	"HG2046_PATCH"	58730	65394
"FGF12"	"3"	192139390	192767764
"FGFR3"	"4"	1793293	1808872
"FHIT"	"3"	59747277	61251459
"FILIP1"	"6"	75291859	75493800
"FILIP1L"	"3"	99828811	100114513
"FKBP7"	"2"	178463664	178478600
"FLCN"	"17"	17212212	17237188
"FLG"	"1"	152302165	152325239
"FLRT3"	"20"	14322985	14337614
"FMNL1"	"17"	45221444	45247319
"FMO5"	"1"	147175351	147243050
"FMOD"	"1"	203340628	203351758
"FNBP1L"	"1"	93448118	93554661
"FOLR1"	"11"	72189558	72196323
"FOSL2"	"2"	28392448	28417317
"FOXN3"	"14"	89124871	89619149
"FOXO4"	"X"	71095851	71103532
"FOXO6"	"HG986_PATCH"	111604	133486
"FOXO6"	"1"	41361922	41383590
"FRAS1"	"4"	78057323	78544269
"FREM1"	"9"	14737152	14910995
"FRY"	"13"	31846713	32299125
"FSIP1"	"15"	39588357	39782841
"FSTL1"	"3"	120392293	120451016
"FSTL3"	"19"	676392	683392
"FTCD"	"21"	46136160	46155579
"FTCD"	"HSCHR21_5_CTG2"	1168	14626
"FYN"	"6"	111660332	111873452
"GAB2"	"11"	78215293	78418348
"GAB3"	"X"	154675249	154751583
"GABARAP"	"17"	7240008	7242449
"GABARAPL1"	"12"	10212458	10223128
"GABBR1"	"HSCHR6_MHC_DBB_CTG1"	821155	898710
"GABBR1"	"HSCHR6_MHC_COX_CTG1"	1042093	1119641
"GABBR1"	"HSCHR6_MHC_QBL_CTG1"	821111	898673
"GABBR1"	"HSCHR6_MHC_MCF_CTG1"	821016	898553
"GABBR1"	"HSCHR6_MHC_MANN_CTG1"	820771	898309
"GABBR1"	"6"	29555629	29633976
"GABBR1"	"HSCHR6_MHC_APD_CTG1"	821307	898877
"GABRB3"	"15"	26543552	26939539
"GABRR2"	"6"	89254464	89315299
"GADD45B"	"19"	2476122	2478259
"GAL3ST1"	"22"	30554635	30574665
"GALNT16"	"14"	69259277	69357033
"GALNT5"	"2"	157257705	157318491
"GAS2"	"11"	22625509	22813001
"GASK1A"	"3"	42979087	43067898
"GASK1B"	"4"	158124474	158173318
"GBGT1"	"9"	133152948	133163933
"GBP1"	"1"	89051882	89065360
"GBP2"	"1"	89106132	89150456
"GBP5"	"1"	89256189	89272860
"GCNT3"	"15"	59594875	59640239
"GCNT4"	"5"	75025346	75052558
"GDF15"	"19"	18374731	18389176
"GDF5"	"20"	35433347	35454746
"GDPD1"	"17"	59220467	59275970
"GFRA1"	"10"	116056925	116276803
"GGACT"	"13"	100530164	100589528
"GGT5"	"22"	24219654	24245108
"GGT7"	"20"	34844720	34872856
"GGTLC1"	"20"	23985050	23988779
"GGTLC3"	"22"	18516344	18518161
"GKAP1"	"9"	83739425	83829516
"GLIS2"	"16"	4314761	4339597
"GLIS2"	"HSCHR16_3_CTG1"	15125	39961
"GLMP"	"1"	156290089	156295689
"GLP2R"	"17"	9822206	9892099
"GLRB"	"4"	157076125	157172090
"GLRX"	"5"	95751319	95822726
"GLT8D2"	"12"	103988987	104064183
"GNA14"	"9"	77423079	77648322
"GNG7"	"19"	2511219	2702694
"GOLGA6L10"	"HSCHR15_5_CTG8"	128991	138515
"GOLGA6L10"	"15"	82339993	82349475
"GOLGA6L10"	"HSCHR15_5_CTG8"	52800	59514
"GOLGA8A"	"HSCHR15_9_CTG8"	125038	183900
"GOLGA8A"	"15"	34378935	34437808
"GOLGA8B"	"15"	34525095	34588503
"GOLGA8R"	"15"	30400562	30414260
"GPC4"	"X"	133300103	133415489
"GPC5"	"13"	91398621	92873682
"GPC6"	"13"	93226807	94408020
"GPCPD1"	"20"	5544439	5611006
"GPIHBP1"	"8"	143213218	143217170
"GPNMB"	"7"	23235967	23275108
"GPR155"	"2"	174431571	174487094
"GPR156"	"3"	120164645	120285222
"GPR173"	"X"	53048789	53080615
"GPR176"	"15"	39799008	39920936
"GPR35"	"2"	240605430	240633159
"GPR37L1"	"1"	202122886	202133592
"GPR63"	"6"	96794125	96837477
"GPRASP1"	"X"	102651092	102659083
"GPRC5A"	"12"	12891559	12917937
"GPX3"	"5"	151020591	151028988
"GRAMD2A"	"15"	72159806	72197787
"GREB1"	"2"	11482341	11642788
"GRIN2A"	"16"	9753404	10182928
"GRIN3A"	"9"	101569352	101738647
"GRN"	"17"	44345246	44353106
"GSDMB"	"17"	39904595	39919854
"GSN"	"9"	121207794	121332843
"GSTA1"	"6"	52791371	52803860
"GSTA2"	"6"	52750087	52763475
"GSTA4"	"6"	52977948	52995304
"GSTM2"	"1"	109668022	109709551
"GSTM3"	"1"	109733932	109741038
"GSTM4"	"1"	109656099	109665496
"GUCY1A2"	"11"	106674019	107018476
"GUCY1B1"	"4"	155758992	155807811
"GUCY2C"	"12"	14612632	14696599
"GXYLT2"	"3"	72888046	72998138
"GYG2"	"X"	2828822	2882818
"H2AC13"	"6"	27808173	27808667
"H2AC6"	"6"	26124145	26139116
"H2AC8"	"6"	26216921	26217437
"H2BC15"	"6"	27838545	27855709
"H2BC8"	"6"	26216200	26216688
"H3C10"	"6"	27810051	27811300
"H3C14"	"1"	149840687	149841208
"H4C8"	"6"	26277609	26285638
"H6PD"	"1"	9234774	9271337
"HAPLN1"	"5"	83637805	83720855
"HBEGF"	"5"	140332843	140346603
"HCN2"	"19"	589881	617159
"HCN4"	"15"	73319859	73368958
"HDX"	"X"	84317874	84502479
"HEG1"	"3"	124965710	125055997
"HEPH"	"X"	66162671	66268867
"HEPHL1"	"11"	94021354	94114208
"HERPUD1"	"16"	56932142	56944864
"HES7"	"17"	8120592	8124106
"HHAT"	"HG1832_PATCH"	107994	459395
"HHAT"	"1"	210328252	210676296
"HIPK3"	"11"	33256672	33357023
"HIVEP1"	"6"	12008762	12164999
"HLF"	"17"	55264960	55325187
"HMCN1"	"1"	185734391	186190949
"HOGA1"	"10"	97584323	97612802
"HORMAD2"	"22"	30080464	30177075
