"SYMBOL"	"chromosome_name"	"start_position"	"end_position"
"DUSP6"	"12"	89347235	89352501
"DUSP7"	"3"	52048919	52056571
"DUSP9"	"X"	153642492	153651326
"DZIP1L"	"3"	138061990	138115818
"E2F1"	"20"	33675477	33686385
"E2F2"	"1"	23506438	23531233
"E2F2"	"HSCHR1_4_CTG3"	276417	301212
"E2F7"	"12"	77021248	77065569
"E2F8"	"11"	19224063	19241620
"EBP"	"X"	48521799	48528716
"ECT2"	"3"	172750682	172821474
"EEF2KMT"	"16"	5084284	5097795
"EEPD1"	"7"	36153254	36301538
"EFHD2"	"1"	15409888	15430339
"EGR1"	"5"	138465479	138469303
"EGR2"	"10"	62811996	62819167
"EGR3"	"8"	22687659	22693480
"EIF2B2"	"14"	75002921	75012366
"EIF2S1"	"14"	67360328	67386516
"EIF5"	"14"	103333544	103345025
"ELAVL2"	"9"	23690104	23826337
"ELMO3"	"16"	67199111	67204029
"ELOVL6"	"4"	110045846	110199199
"EME1"	"17"	50373220	50381483
"EML1"	"14"	99737693	99942060
"EML6"	"2"	54723499	54972025
"EMP2"	"16"	10528422	10580632
"EN2"	"7"	155458129	155464831
"ENO2"	"12"	6913745	6923698
"ENTPD2"	"9"	137048107	137054061
"ENTPD3"	"3"	40387184	40428744
"EPB41L4B"	"9"	109171974	109321059
"EPCAM"	"2"	47345158	47387601
"EPGN"	"4"	74308470	74316789
"EPHA1"	"HG708_PATCH"	9653	28220
"EPHA1"	"7"	143390289	143408856
"EPHA6"	"3"	96814581	97761532
"EPHB3"	"3"	184561785	184582408
"EPN3"	"17"	50532682	50543750
"EPSTI1"	"13"	42886388	42992271
"ERBB3"	"12"	56076799	56103505
"ERCC6L"	"X"	72204657	72239027
"EREG"	"4"	74365145	74388749
"ERFE"	"2"	238158970	238168900
"ERP27"	"12"	14914039	14938537
"ESCO2"	"8"	27771949	27812640
"ESPL1"	"12"	53268299	53293638
"ESR2"	"14"	64084232	64338112
"ESRP1"	"8"	94641074	94707466
"ESRP2"	"16"	68229033	68238102
"ETV1"	"7"	13891229	13991425
"ETV4"	"17"	43527844	43579620
"ETV5"	"3"	186046314	186110318
"EVA1A"	"2"	75469302	75569722
"EVI2B"	"HG2407_PATCH"	382932	393259
"EVI2B"	"17"	31303770	31314105
"EXO1"	"1"	241847967	241895148
"EXOC3L4"	"14"	103094725	103110559
"EXOSC8"	"13"	36998816	37025881
"EZH2"	"7"	148807257	148884321
"F12"	"5"	177402133	177416583
"FABP5"	"8"	81280536	81284777
"FAH"	"15"	80152490	80186946
"FAM111B"	"11"	59107185	59127412
"FAM166C"	"2"	26562585	26579532
"FAM171B"	"2"	186694060	186765959
"FAM178B"	"2"	96875882	96986580
"FAM20C"	"HG1309_PATCH"	168259	235989
"FAM20C"	"7"	192571	260772
"FAM20C"	"HSCHR7_2_CTG1"	185290	189896
"FAM20C"	"HSCHR7_1_CTG1"	152373	155136
"FAM222A"	"12"	109713825	109770495
"FAM25C"	"HG1277_PATCH"	213604	218073
"FAM25C"	"10"	47995322	47999791
"FAM3C"	"7"	121348878	121396364
"FAM72A"	"1"	206186179	206204414
"FAM72B"	"1"	121167646	121185539
"FAM72C"	"1"	143955287	143971986
"FAM72D"	"1"	145095974	145112696
"FAM81A"	"15"	59372693	59523555
"FAM83D"	"20"	38926312	38953106
"FAM83F"	"22"	39994954	40043534
"FAM9B"	"X"	9024232	9295682
"FANCA"	"16"	89726683	89816977
"FANCB"	"X"	14690388	14873255
"FANCD2"	"3"	10026370	10101932
"FANCG"	"9"	35073835	35080004
"FANCI"	"15"	89243945	89317261
"FAT2"	"5"	151504092	151591331
"FBXO43"	"8"	100133351	100145817
"FBXO5"	"6"	152970519	152983579
"FCRLB"	"1"	161721544	161728143
"FGD6"	"12"	95076749	95217482
"FGFBP1"	"4"	15935577	15938740
"FHAD1"	"1"	15236521	15400283
"FHL2"	"2"	105357712	105438513
"FHOD3"	"18"	36297713	36780220
"FOS"	"14"	75278826	75282230
"FOSL1"	"11"	65892049	65900573
"FOXA2"	"20"	22580998	22585455
"FOXI3"	"2"	88446787	88452693
"FOXL1"	"16"	86576368	86583478
"FOXM1"	"12"	2857680	2877174
"FOXQ1"	"6"	1312098	1314758
"FUT2"	"19"	48695971	48705951
"FXYD3"	"19"	35115823	35124324
"FZD8"	"10"	35638247	35642296
"G0S2"	"1"	209675412	209676390
"G6PD"	"X"	154517825	154547572
"GABRE"	"X"	151953124	151974680
"GALNT12"	"9"	98807670	98850081
"GALNT15"	"3"	16174680	16231992
"GALNT3"	"2"	165747588	165794659
"GALNT6"	"12"	51351247	51392867
"GAS2L3"	"12"	100573683	100628288
"GCH1"	"14"	54842008	54902826
"GCLM"	"1"	93885199	93909456
"GEM"	"8"	94249253	94262350
"GEN1"	"2"	17753858	17788946
"GGCT"	"7"	30496621	30504841
"GGT1"	"22"	24594811	24629005
"GINS1"	"20"	25391008	25452700
"GINS2"	"16"	85676198	85690073
"GINS3"	"16"	58295080	58406147
"GINS4"	"8"	41529218	41545030
"GJB3"	"1"	34781214	34786369
"GLDC"	"9"	6532467	6645729
"GLRX5"	"14"	95533503	95544724
"GLUD2"	"X"	121047610	121050094
"GLUD2"	"HG439_PATCH"	367013	369497
"GMNN"	"6"	24774931	24786099
"GNA15"	"19"	3136033	3163749
"GOLGA7B"	"10"	97849843	97871580
"GON7"	"14"	93202894	93207065
"GON7"	"HSCHR14_7_CTG1"	317456	321656
"GPAT3"	"4"	83535914	83605875
"GPD2"	"2"	156435290	156613735
"GPR3"	"1"	27392622	27395814
"GPR39"	"2"	132416805	132646582
"GPR87"	"3"	151294086	151316820
"GPRC5B"	"16"	19856691	19886167
"GPSM2"	"1"	108875350	108934545
"GRB14"	"2"	164492417	164621482
"GRB7"	"17"	39737927	39747291
"GRHL1"	"2"	9951693	10002277
"GRHL2"	"8"	101492439	101669726
"GRIN1"	"9"	137138346	137168756
"GRIN3B"	"19"	1000419	1009732
"GRTP1"	"13"	113324163	113364148
"GSTO2"	"10"	104268873	104304950
"GTF3A"	"13"	27424619	27435823
"GTSE1"	"22"	46296870	46330810
"GULP1"	"2"	188291669	188595931
"H2AC16"	"6"	27865317	27865798
"H2AC20"	"1"	149886918	149887411
"H2AX"	"11"	119093874	119095465
"H2BC11"	"6"	27125897	27132795
"H3C15"	"1"	149852608	149853125
"H3C3"	"6"	26045384	26045869
"H3C8"	"6"	26270918	26271413
"HACD4"	"9"	20999509	21031640
"HAS2"	"8"	121612116	121641440
"HAS3"	"16"	69105653	69118719
"HASPIN"	"17"	3723903	3726699
"HAT1"	"HSCHR2_11_CTG7_2"	353066	422730
"HAT1"	"2"	171922448	171983686
"HAUS6"	"9"	19053141	19102904
"HAUS7"	"X"	153447668	153495516
"HAUS8"	"19"	17049729	17075625
"HCAR1"	"12"	122726076	122730844
"HCAR2"	"12"	122701293	122703357
"HELLS"	"10"	94545329	94613905
"HERC3"	"4"	88523810	88708450
"HERC3"	"4"	88592434	88708541
"HERC5"	"4"	88457119	88506163
"HEY1"	"8"	79762371	79767857
"HID1"	"17"	74950742	74973166
"HIRIP3"	"16"	29992330	29996074
"HIVEP3"	"1"	41506365	42035925
"HJURP"	"2"	233833416	233854566
"HMGA1"	"6"	34236873	34246231
"HMGA2"	"12"	65824460	65966291
"HMGB1"	"13"	30456704	30617597
"HMGB2"	"4"	173331376	173334432
"HMGB3"	"X"	150980509	150990771
"HMMR"	"5"	163460203	163491941
"HMOX1"	"22"	35380361	35394214
"HOOK1"	"1"	59814786	59876322
"HOXA7"	"7"	27153716	27157936
"HPDL"	"1"	45326895	45328710
"HR"	"8"	22114419	22133384
"HROB"	"17"	44141906	44162476
"HS3ST1"	"4"	11393150	11429564
"HSH2D"	"19"	16134028	16158575
"HSP90AA1"	"14"	102080742	102139699
"HSPE1"	"2"	197500140	197503449
"HSPH1"	"13"	31134973	31162388
"HTR7"	"10"	90740823	90858039
"HTRA3"	"4"	8269754	8307098
"ID1"	"20"	31605283	31606515
"ID2"	"2"	8678845	8684461
"IDH3A"	"15"	78131498	78171945
"IFI44"	"1"	78649796	78664078
"IFI44L"	"1"	78619902	78646145
"IFIH1"	"2"	162267074	162318684
"IFIT1"	"10"	89392546	89406487
"IFIT2"	"10"	89283694	89309271
"IFIT3"	"10"	89327307	89377473
"IGDCC4"	"15"	65381484	65422947
"IGFBP2"	"2"	216632828	216664436
"IGFBP4"	"17"	40443450	40457725
"IGFBP6"	"12"	53097436	53102345
"IGFLR1"	"19"	35738801	35742453
"IL11"	"19"	55364382	55370463
"IL17RE"	"3"	9902612	9916402
"IL1RAPL1"	"X"	28587446	29956718
"IL1RL1"	"2"	102311502	102352037
"IL1RN"	"2"	113099315	113134016
"IL22RA1"	"1"	24119771	24143140
"IL23A"	"12"	56334174	56340410
"IL36RN"	"2"	113058638	113065382
"IMPA2"	"18"	11981025	12030877
"IMPDH1"	"7"	128392277	128409986
"INF2"	"14"	104681146	104722535
"INKA1"	"3"	49803261	49805030
"INSIG1"	"7"	155297776	155310235
"INTS7"	"1"	211940399	212035557
"IQANK1"	"HSCHR8_3_CTG7"	211187	223384
"IQANK1"	"8"	143734139	143790645
"IQGAP3"	"1"	156525405	156572604
"IQGAP3"	"HG2515_PATCH"	83962	131161
"IQSEC3"	"12"	66767	178455
"IQSEC3"	"HSCHR12_1_CTG1"	60780	165481
"IRAK2"	"3"	10164919	10243745
"IRF5"	"7"	128937457	128950038
"IRS1"	"2"	226731312	226799820
"IRX2"	"5"	2745845	2751677
"ISM1"	"20"	13221274	13300651
"ITGA10"	"1"	145891208	145910111
"ITGA2"	"5"	52989340	53094779
"ITGA6"	"2"	172427354	172506459
"ITGA7"	"12"	55684568	55716404
"ITGB1BP2"	"X"	71301750	71305371
"ITGB2"	"21"	44885953	44931989
"ITGB6"	"2"	160099667	160200313
"ITGB7"	"12"	53191323	53207282
"ITGBL1"	"13"	101452593	101720856
"ITPK1"	"HSCHR14_7_CTG1"	51476	230882
"ITPK1"	"14"	92936914	93116320
"IVL"	"1"	152908546	152911886
"JADE2"	"5"	134524312	134583230
"JAG2"	"14"	105140982	105168824
"JCAD"	"10"	30012803	30115494
"JPH1"	"8"	74234700	74321540
"KALRN"	"3"	124033369	124726325
"KANK1"	"9"	470291	746105
"KANK3"	"19"	8322584	8343262
"KCNA7"	"19"	49067397	49072699
"KCNAB3"	"17"	7921859	7929856
"KCNF1"	"2"	10911934	10914225
"KCNJ18"	"17"	21692523	21704612
"KCNMA1"	"10"	76869601	77638369
"KCNN4"	"19"	43766533	43780976
"KCNS3"	"2"	17877847	18361616
"KDF1"	"1"	26949562	26960468
"KHDRBS3"	"8"	135457456	135656722
"KIAA0040"	"1"	175156986	175192999
"KIAA1755"	"20"	38210503	38260772
"KIF11"	"10"	92574105	92655395
"KIF14"	"1"	200551497	200620751
"KIF15"	"3"	44761721	44873376
"KIF15"	"HG2066_PATCH"	287071	398726
"KIF18B"	"17"	44924709	44947773
"KIF20A"	"5"	138178719	138187723
"KIF20B"	"10"	89701590	89774939
"KIF21B"	"1"	200969390	201023714
"KIF22"	"16"	29790727	29805385
"KIF23"	"15"	69414246	69448427
"KIF2C"	"1"	44739818	44767767
"KIF4A"	"X"	70290104	70420886
"KIF5A"	"12"	57546026	57586633
"KIFC1"	"HSCHR6_MHC_SSTO_CTG1"	4840231	4858622
"KIFC1"	"HSCHR6_MHC_QBL_CTG1"	4585944	4604310
"KIFC1"	"6"	33391823	33409896
"KIFC1"	"HSCHR6_MHC_MCF_CTG1"	4827484	4827813
"KIRREL3"	"11"	126423358	127003460
"KLF2"	"19"	16324826	16328685
"KLF4"	"9"	107484852	107490482
"KLK10"	"19"	51012739	51020175
"KLK4"	"19"	50906351	50911395
"KLK6"	"19"	50958631	50969673
"KLK7"	"19"	50976468	50984099
"KLK8"	"19"	50996007	51002711
"KNL1"	"15"	40594020	40664342
"KNSTRN"	"15"	40382721	40394288
"KNTC1"	"12"	122527246	122626396
"KPNA2"	"17"	68035636	68047364
"KPNA7"	"7"	99173572	99250075
"KPNA7"	"HG2088_PATCH"	81203	115135
"KREMEN2"	"16"	2964216	2968380
"KRT7"	"12"	52232520	52252186
"KRT78"	"12"	52837804	52849092
"KRT81"	"12"	52285913	52291534
"KRTCAP3"	"2"	27442366	27446481
"LACTB2"	"8"	70635318	70669185
"LAD1"	"1"	201380833	201399915
"LAMA3"	"18"	23689453	23956222
"LAMB1"	"7"	107923799	108003213
"LAMB3"	"1"	209614870	209652425
"LAMC2"	"1"	183186238	183245127
"LAPTM5"	"1"	30732469	30757774
